day,fee_tier,volume
2023-05-06 00:00:00.000 UTC,30bp,21166039.98451239
2023-11-09 00:00:00.000 UTC,30bp,34749678.34480197
2024-08-17 00:00:00.000 UTC,30bp,1100073.9263101004
2024-02-14 00:00:00.000 UTC,5bp,193991854.19396216
2024-02-25 00:00:00.000 UTC,30bp,109028244.49769682
2022-02-25 00:00:00.000 UTC,30bp,122245564.6351735
2023-01-23 00:00:00.000 UTC,30bp,36478393.78722133
2023-06-04 00:00:00.000 UTC,30bp,2954843.3821175518
2021-07-14 00:00:00.000 UTC,30bp,94191587.74867386
2021-11-09 00:00:00.000 UTC,5bp,447386909.34001136
2023-09-25 00:00:00.000 UTC,30bp,3320418.508462604
2022-08-05 00:00:00.000 UTC,5bp,577898221.6861011
2022-08-02 00:00:00.000 UTC,30bp,111703962.47856888
2023-04-17 00:00:00.000 UTC,30bp,7524961.101941248
2022-09-24 00:00:00.000 UTC,5bp,256928021.50616688
2023-11-22 00:00:00.000 UTC,30bp,17369154.34473808
2024-02-01 00:00:00.000 UTC,5bp,180280673.4438462
2024-03-30 00:00:00.000 UTC,30bp,11534732.792802026
2021-10-14 00:00:00.000 UTC,30bp,87375349.54157011
2025-01-01 00:00:00.000 UTC,30bp,1788603.2666120746
2021-12-29 00:00:00.000 UTC,5bp,560139743.789402
2021-07-21 00:00:00.000 UTC,30bp,170682680.9600492
2023-09-10 00:00:00.000 UTC,30bp,3196391.2521833633
2023-09-18 00:00:00.000 UTC,30bp,6002948.823450191
2022-08-04 00:00:00.000 UTC,5bp,545000854.8157086
2022-08-20 00:00:00.000 UTC,5bp,634821615.341345
2024-07-05 00:00:00.000 UTC,30bp,40177274.17028797
2023-04-02 00:00:00.000 UTC,30bp,8010819.551632634
2022-09-27 00:00:00.000 UTC,5bp,424603090.590351
2024-04-18 00:00:00.000 UTC,5bp,293509308.27502394
2023-03-16 00:00:00.000 UTC,5bp,433064165.4394501
2021-08-11 00:00:00.000 UTC,30bp,132188883.82646002
2023-12-14 00:00:00.000 UTC,30bp,14722159.316533642
2024-01-21 00:00:00.000 UTC,30bp,1731147.768060879
2023-09-10 00:00:00.000 UTC,5bp,197444729.8205771
2022-07-05 00:00:00.000 UTC,5bp,551602394.0621107
2023-10-20 00:00:00.000 UTC,30bp,8528299.490649892
2021-05-18 00:00:00.000 UTC,30bp,236480152.1007589
2023-03-15 00:00:00.000 UTC,5bp,1044478460.1452571
2024-03-15 00:00:00.000 UTC,5bp,956374060.8277543
2024-03-28 00:00:00.000 UTC,5bp,270459537.49169755
2024-01-04 00:00:00.000 UTC,30bp,17876729.714072317
2022-02-26 00:00:00.000 UTC,5bp,591126449.5154942
2022-01-18 00:00:00.000 UTC,30bp,87224423.11610559
2025-01-21 00:00:00.000 UTC,30bp,8405696.18300978
2022-05-22 00:00:00.000 UTC,5bp,367575238.9515293
2023-08-21 00:00:00.000 UTC,5bp,167366208.35399786
2023-08-08 00:00:00.000 UTC,30bp,8005062.490567044
2022-07-09 00:00:00.000 UTC,30bp,29407335.680960886
2023-10-14 00:00:00.000 UTC,5bp,49081408.17154404
2022-09-23 00:00:00.000 UTC,5bp,406344168.8590257
2023-11-07 00:00:00.000 UTC,30bp,11458112.148449397
2024-12-06 00:00:00.000 UTC,5bp,444366836.50080776
2021-08-03 00:00:00.000 UTC,30bp,182132357.90298286
2022-05-21 00:00:00.000 UTC,5bp,304325715.23419935
2021-09-30 00:00:00.000 UTC,30bp,91351008.61635785
2022-07-01 00:00:00.000 UTC,30bp,103596537.16045785
2023-04-22 00:00:00.000 UTC,5bp,140017372.66332117
2023-05-17 00:00:00.000 UTC,5bp,174362912.49204332
2024-08-08 00:00:00.000 UTC,5bp,193077606.14534304
2021-10-25 00:00:00.000 UTC,5bp,382626237.7456804
2021-07-29 00:00:00.000 UTC,30bp,66246287.493752345
2021-09-13 00:00:00.000 UTC,30bp,168488224.0171278
2023-05-12 00:00:00.000 UTC,30bp,28968042.01219027
2024-12-27 00:00:00.000 UTC,5bp,203780153.89575297
2023-12-27 00:00:00.000 UTC,30bp,14552032.254832141
2024-01-09 00:00:00.000 UTC,5bp,371239209.14817977
2022-01-24 00:00:00.000 UTC,30bp,236735389.61614025
2022-05-09 00:00:00.000 UTC,5bp,1431574747.338141
2021-09-29 00:00:00.000 UTC,30bp,62888851.642749146
2024-10-09 00:00:00.000 UTC,5bp,130333324.12137936
2024-07-01 00:00:00.000 UTC,5bp,198734964.49506688
2024-06-02 00:00:00.000 UTC,5bp,149291042.66971233
2024-02-24 00:00:00.000 UTC,5bp,120538699.94892596
2023-03-08 00:00:00.000 UTC,5bp,300601731.92068714
2025-01-04 00:00:00.000 UTC,30bp,2232872.3882231913
2022-01-08 00:00:00.000 UTC,30bp,91340755.73277508
2021-11-23 00:00:00.000 UTC,5bp,861027222.5982434
2024-10-30 00:00:00.000 UTC,30bp,27376401.552845094
2024-07-26 00:00:00.000 UTC,5bp,182322760.73130488
2022-10-22 00:00:00.000 UTC,5bp,147190423.29790556
2023-03-28 00:00:00.000 UTC,30bp,17743580.68424802
2022-11-24 00:00:00.000 UTC,5bp,335792151.757165
